test_row_index,test_id,original_text,normalized_text,base_label,override_label,applied,train_match_count,train_match_ids,train_match_labels,reason
0,1608,when considering all the stakeholders involved ... and how they might,when considering all the stakeholders involved... and how they might,0,,False,0,,,no_exact_train_match
1,334,"We'll release the update March 11- no, March 12th, 2025","we'll release the update march 11- no, march 12th, 2025",1,,False,0,,,no_exact_train_match
2,1779,"choose one, book it for 4 people and 5 nights starting from monday","choose one, book it for 4 people and 5 nights starting from monday",1,,False,0,,,no_exact_train_match
3,1015,"We're missing some logs, some debug logs from the production server","we're missing some logs, some debug logs from the production server",1,,False,0,,,no_exact_train_match
4,1790,I will. Goodbye,i will. goodbye,1,,False,0,,,no_exact_train_match
5,1635,"Hello, could you help me with information on a train","hello, could you help me with information on a train",1,,False,0,,,no_exact_train_match
6,358,When handling the API response we should maybe um if the status,when handling the api response we should maybe um if the status,0,,False,0,,,no_exact_train_match
7,1574,naw i'm good thanks,naw i'm good thanks,1,,False,0,,,no_exact_train_match
8,700,No thank you that will be all,no thank you that will be all,1,,False,0,,,no_exact_train_match
9,284,we should meet at the coffee shop by the um you know the one next to the library downtown,we should meet at the coffee shop by the um you know the one next to the library downtown,1,,False,0,,,no_exact_train_match
10,1042,We need to update the tokens update the tokens before they,we need to update the tokens update the tokens before they,0,,False,0,,,no_exact_train_match
11,611,I would like the phone number and the post code please,i would like the phone number and the post code please,1,,False,0,,,no_exact_train_match
12,1173,she was telling me earlier about how the project would be but then she just,she was telling me earlier about how the project would be but then she just,0,,False,0,,,no_exact_train_match
13,783,I was going through it and she just says c'est la vie innit,i was going through it and she just says c'est la vie innit,1,,False,0,,,no_exact_train_match
14,687,I also need to book a taxi to commute between the two. I need to get to the restaurant by the booked time,i also need to book a taxi to commute between the two. i need to get to the restaurant by the booked time,1,,False,0,,,no_exact_train_match
15,727,"Mmhm, yeah, that's exactly what I was telling Sarah about yesterday","mmhm, yeah, that's exactly what i was telling sarah about yesterday",1,,False,0,,,no_exact_train_match
16,1701,Our book club selected 'The Midnight Garden' for next month's discussion,our book club selected 'the midnight garden' for next month's discussion,1,,False,0,,,no_exact_train_match
17,1589,the client specifically asked about ... but i wasnt quite clear on,the client specifically asked about... but i wasnt quite clear on,0,,False,0,,,no_exact_train_match
18,37,"I will need to take a train here from london kings cross, I will need ot get here by 19:45","i will need to take a train here from london kings cross, i will need ot get here by 19:45",1,,False,0,,,no_exact_train_match
19,243,"We-we tried that new restaurant and, and honestly, it exceeded all expectations","we-we tried that new restaurant and, and honestly, it exceeded all expectations",1,,False,0,,,no_exact_train_match
20,250,my bestie deadass came through with the most lit birthday surprise no cap,my bestie deadass came through with the most lit birthday surprise no cap,1,,False,0,,,no_exact_train_match
21,17,Thank you for you help,thank you for you help,1,,False,0,,,no_exact_train_match
22,1780,thinking about the new project timeline isnt there a way to,thinking about the new project timeline isnt there a way to,0,0,False,1,1777,0,diagnostic_only_count_lt_2
23,983,"Check your email, your WORK email for the updates","check your email, your work email for the updates",1,,False,0,,,no_exact_train_match
24,773,thanks team really appreciate your help with debugging,thanks team really appreciate your help with debugging,1,,False,0,,,no_exact_train_match
25,188,What time will I be arriving if I take the 7:54 train,what time will i be arriving if i take the 7:54 train,1,,False,0,,,no_exact_train_match
26,144,well if you really want my opinion about the whole situation then you,well if you really want my opinion about the whole situation then you,0,,False,0,,,no_exact_train_match
27,447,hey speaking of that one time when everybody was trying to,hey speaking of that one time when everybody was trying to,0,,False,0,,,no_exact_train_match
28,957,have you seen my phone my phone that I was just,have you seen my phone my phone that i was just,0,,False,0,,,no_exact_train_match
29,1469,I'd like to find a place to go in the center of town,i'd like to find a place to go in the center of town,1,,False,0,,,no_exact_train_match
30,531,Kinda wish I woulda studied more for that test,kinda wish i woulda studied more for that test,1,,False,0,,,no_exact_train_match
31,1615,"Your membership ID 78921 expires on April 1st, 2025","your membership id 78921 expires on april 1st, 2025",1,,False,0,,,no_exact_train_match
32,1032,What time is your happy hour? Your WEEKDAY happy hour specifically,what time is your happy hour? your weekday happy hour specifically,1,,False,0,,,no_exact_train_match
33,534,Dunno if ya heard bout what happened at the,dunno if ya heard bout what happened at the,0,,False,0,,,no_exact_train_match
34,1672,While walking through the botanical gardens I noticed some unusual,while walking through the botanical gardens i noticed some unusual,0,,False,0,,,no_exact_train_match
35,639,wasnt even posed to be here but im glad i came anyway,wasnt even posed to be here but im glad i came anyway,1,,False,0,,,no_exact_train_match
36,541,Tryna figure out how to work this new phone,tryna figure out how to work this new phone,1,,False,0,,,no_exact_train_match
37,825,I'm there thinking inshallah everything's good until,i'm there thinking inshallah everything's good until,0,,False,0,,,no_exact_train_match
38,1950,that sounds like a good plan doesnt it unless we consider,that sounds like a good plan doesnt it unless we consider,0,,False,0,,,no_exact_train_match
39,281,my sister lives in new jer I mean pennsylvania shes been there for about five years now,my sister lives in new jer i mean pennsylvania shes been there for about five years now,1,,False,0,,,no_exact_train_match
40,414,ah geez I totally forgot to charge my phone before leaving the house,ah geez i totally forgot to charge my phone before leaving the house,1,,False,0,,,no_exact_train_match
41,1739,going to Yu Garden and then somehow trying to find a,going to yu garden and then somehow trying to find a,0,,False,0,,,no_exact_train_match
42,1775,Not quite sure,not quite sure,1,,False,0,,,no_exact_train_match
43,158,everything about this situation makes me feel so frustrated and I just dont,everything about this situation makes me feel so frustrated and i just dont,0,,False,0,,,no_exact_train_match
44,1577,the ancient ruins were discovered ... beneath the modern shopping district,the ancient ruins were discovered... beneath the modern shopping district,1,,False,0,,,no_exact_train_match
45,1479,based on the preliminary results those numbers arent correct we might need to,based on the preliminary results those numbers arent correct we might need to,0,,False,0,,,no_exact_train_match
