feature,coefficient,scaled,abs_coefficient
transformer:deberta_v3,8.58271570288585,False,8.58271570288585
transformer:distilbert_no_aug,4.753817210573124,False,4.753817210573124
endpoint:word_count,1.0883650936414684,True,1.0883650936414684
endpoint:question_count,0.8953975207964903,True,0.8953975207964903
endpoint:ends_with_conj,-0.5974667146858199,True,0.5974667146858199
retrieval:exact_duplicate_label_if_any,0.5791704530096816,True,0.5791704530096816
retrieval:near_duplicate_099_label_if_any,0.5791704530096816,True,0.5791704530096816
endpoint:char_count,-0.49698733989430677,True,0.49698733989430677
endpoint:last_token_is_incomplete_group,-0.4274224654114169,True,0.4274224654114169
retrieval:top3_label1_mean_word,0.4131849427167034,True,0.4131849427167034
endpoint:ends_with_wh,-0.4007934291822262,True,0.4007934291822262
retrieval:exact_duplicate_flag,-0.4000406081952944,True,0.4000406081952944
retrieval:exact_duplicate_count,-0.4000406081952944,True,0.4000406081952944
retrieval:near_duplicate_099_flag,-0.4000406081952944,True,0.4000406081952944
endpoint:ends_with_prep,-0.35952385802484155,True,0.35952385802484155
retrieval:nn_max_sim_word,0.3469261480392059,True,0.3469261480392059
endpoint:medium_utterance,0.31454623865517956,True,0.31454623865517956
endpoint:last_token_is_function_word,-0.2947872234969261,True,0.2947872234969261
classical:char_wb_tfidf_linearsvc,0.2912358152711645,True,0.2912358152711645
retrieval:top5_label1_mean_word,-0.23736724010341528,True,0.23736724010341528
retrieval:top5_label_agreement_char,-0.2200491969877176,True,0.2200491969877176
endpoint:ends_with_det,0.2194228930162101,True,0.2194228930162101
endpoint:starts_with_request,-0.2075615238505264,True,0.2075615238505264
retrieval:top3_label1_mean_char,0.18459255210055142,True,0.18459255210055142
endpoint:log1p_word_count,-0.18363274800601434,True,0.18363274800601434
endpoint:has_filler,-0.15390463072184707,True,0.15390463072184707
retrieval:nn_max_sim_char,-0.09399543485549308,True,0.09399543485549308
classical:word_tfidf_linearsvc,0.09275274724752193,True,0.09275274724752193
retrieval:top5_label_agreement_word,-0.07764523869439963,True,0.07764523869439963
retrieval:top5_label1_mean_char,0.07146171660062939,True,0.07146171660062939
endpoint:ends_with_aux,0.04696391253538872,True,0.04696391253538872
endpoint:short_utterance,0.04502504997889996,True,0.04502504997889996
endpoint:last_token_len,0.029690047527607576,True,0.029690047527607576
endpoint:comma_count,-0.02869949837017616,True,0.02869949837017616
retrieval:near_duplicate_099_similarity,0.006337886981441465,True,0.006337886981441465
endpoint:long_utterance,-0.001335356138185431,True,0.001335356138185431
endpoint:ends_with_ellipsis,0.0,True,0.0
endpoint:ends_with_dash,0.0,True,0.0
endpoint:ends_with_comma,0.0,True,0.0
endpoint:ends_with_question,0.0,True,0.0
endpoint:no_terminal_punct,0.0,True,0.0
endpoint:ends_with_exclaim,0.0,True,0.0
endpoint:ends_with_period,0.0,True,0.0
endpoint:terminal_punct_present,0.0,True,0.0
