row_index,id,normalized_text,exact_duplicate_flag,exact_duplicate_label_if_any,exact_duplicate_count,exact_duplicate_ids,exact_duplicate_labels,near_duplicate_099_flag,near_duplicate_099_label_if_any,near_duplicate_099_similarity,near_duplicate_id,split,fold
2,1240,im wondering if we need to no wait the test cases all passed successfully,0,-1,0,,,0,-1,0.6962962962962963,,train_oof,1
5,1563,the city council finally approved... the new community garden project,0,-1,0,,,0,-1,0.5,,train_oof,1
8,1092,can you explain the charges the charges on my statement that look,0,-1,0,,,0,-1,0.5511811023622047,,train_oof,1
9,1224,we might need to reschedule the actually the meeting room is available now,0,-1,0,,,0,-1,0.29213483146067415,,train_oof,1
10,1838,"you've seen the latest sales figures, haven't you, because i wanted to",0,-1,0,,,0,-1,0.5874125874125874,,train_oof,1
17,1795,bout those quarterly reports dont you think we should,0,-1,0,,,0,-1,0.544,,train_oof,1
25,864,"thanks, i'll call that now. bye",0,-1,0,,,0,-1,0.48,,train_oof,1
42,791,help me get a taxi to the cambridge museum of technology please,0,-1,0,,,0,-1,0.3950617283950617,,train_oof,1
52,217,they they told me the delivery would would arrive today but now im just,0,-1,0,,,0,-1,0.373134328358209,,train_oof,1
54,1567,when we discussed the budget last time... but nobody seemed to,0,-1,0,,,0,-1,0.4329896907216495,,train_oof,1
55,1661,i enjoy chinese food,0,-1,0,,,0,-1,0.3582089552238806,,train_oof,1
67,960,could you pass me that folder? the red folder right there,0,-1,0,,,0,-1,0.45161290322580644,,train_oof,1
68,503,no i just need the phone number. thanks,0,-1,0,,,0,-1,0.6373626373626373,,train_oof,1
71,609,kinda weird how da coffee machine always breaks on mondays,0,-1,0,,,0,-1,0.45528455284552843,,train_oof,1
72,1873,"the new coffee machine works so much better, doesn't it",0,-1,0,,,0,-1,0.66,,train_oof,1
74,1931,thats what they told us wasnt it but then i heard,0,-1,0,,,0,-1,0.5263157894736842,,train_oof,1
80,437,ah shoot i need to reschedule my dentist appointment for next week,0,-1,0,,,0,-1,0.48333333333333334,,train_oof,1
81,1676,the neighborhood committee approved the new playground design,0,-1,0,,,0,-1,0.4566929133858268,,train_oof,1
90,440,man oh man that concert was the best performance i have ever seen,0,-1,0,,,0,-1,0.5467625899280576,,train_oof,1
112,633,what about the biggest one,0,-1,0,,,0,-1,0.3191489361702128,,train_oof,1
113,1760,about the ticket reference number 8gvknm9j and the payment process is,0,-1,0,,,0,-1,0.4036697247706422,,train_oof,1
117,383,oh wait let me just uh try to remember what she said about,0,-1,0,,,0,-1,0.7368421052631579,,train_oof,1
121,1814,that is unfortunate. i can cut my stay down to a single night if that helps,0,-1,0,,,0,-1,0.1836734693877551,,train_oof,1
125,138,"i am also looking for a attraction called queens' college, can you get me information on that",0,-1,0,,,0,-1,0.6405228758169934,,train_oof,1
127,891,whew that new car looks absolutely amazing,0,-1,0,,,0,-1,0.44274809160305345,,train_oof,1
131,1195,im trying to figure out why the database keeps showing these,0,-1,0,,,0,-1,0.4426229508196721,,train_oof,1
138,1309,"the system appears to be-- actually, the performance metrics look perfect now",0,-1,0,,,0,-1,0.2773722627737226,,train_oof,1
139,116,i need the departure time for that train,0,-1,0,,,0,-1,0.33663366336633666,,train_oof,1
147,371,"the config file is in etc- no, var/config directory",0,-1,0,,,0,-1,0.25,,train_oof,1
163,1648,that's all. thank you very much,0,-1,0,,,0,-1,0.76,,train_oof,1
166,1994,with my sister,0,-1,0,,,0,-1,0.32432432432432434,,train_oof,1
171,1007,"the metrics look different, look completely different after the update",0,-1,0,,,0,-1,0.39344262295081966,,train_oof,1
173,182,the conference call was boring until they announced were all getting remote work options permanently,0,-1,0,,,0,-1,0.38271604938271603,,train_oof,1
174,566,gimme a sec while i try ta remember,0,-1,0,,,0,-1,0.8311688311688312,,train_oof,1
181,1627,could you explain the rates for,0,-1,0,,,0,-1,0.32432432432432434,,train_oof,1
183,1410,when i tried accessing the course materials it kept showing,0,-1,0,,,0,-1,0.20588235294117646,,train_oof,1
187,1995,since last tuesday,0,-1,0,,,0,-1,0.3333333333333333,,train_oof,1
188,1029,thanks so much you've been a huge help,0,-1,0,,,0,-1,0.6526315789473685,,train_oof,1
189,1300,i started working on the march report but something about these numbers,0,-1,0,,,0,-1,0.39215686274509803,,train_oof,1
191,657,yep yep i hear ya bout the parking situation at work,0,-1,0,,,0,-1,0.46601941747572817,,train_oof,1
193,1907,the client seems happy doesnt she though im wondering if,0,-1,0,,,0,-1,0.5405405405405406,,train_oof,1
196,1002,have you seen my laptop my laptop that i left in the,0,-1,0,,,0,-1,0.36363636363636365,,train_oof,1
201,469,"hey listen, about what you mentioned earlier about the party that",0,-1,0,,,0,-1,0.5714285714285714,,train_oof,1
202,1381,"i wanted to organize a-- wonderful, the surprise party is all set for saturday",0,-1,0,,,0,-1,0.47540983606557374,,train_oof,1
207,1687,the winter farmers market will continue through the end of march,0,-1,0,,,0,-1,0.4122137404580153,,train_oof,1
212,1079,let's try another approach - another systematic approach to this problem,0,-1,0,,,0,-1,0.32679738562091504,,train_oof,1
235,750,"right right, just like in that training video we watched",0,-1,0,,,0,-1,0.5740740740740741,,train_oof,1
242,656,i need a taxi from thanh binh,0,-1,0,,,0,-1,0.56,,train_oof,1
246,249,bruh the way them people at the store was trippin bout my,0,-1,0,,,0,-1,0.25316455696202533,,train_oof,1
248,896,"cool, that's all i need thanks",0,-1,0,,,0,-1,0.5454545454545454,,train_oof,1
249,743,"uh-huh, and then you were saying something about how the",0,-1,0,,,0,-1,0.819047619047619,,train_oof,1
254,1553,considering all the recent changes in... and whether we should even,0,-1,0,,,0,-1,0.3937007874015748,,train_oof,1
263,179,these new shoes are really uncomfortable hey did you hear about the,0,-1,0,,,0,-1,0.5714285714285714,,train_oof,1
268,332,"send these files to latisha- oh sorry, i meant latishab with a 'b",0,-1,0,,,0,-1,0.3916083916083916,,train_oof,1
269,1839,"the conference room needs to be booked in advance now, right",0,-1,0,,,0,-1,0.6666666666666666,,train_oof,1
277,1334,"i was thinking of calling my old-- oh, sarah just texted me this morning",0,-1,0,,,0,-1,0.21176470588235294,,train_oof,1
279,678,ah yeah i was just thinking bout what you said regarding,0,-1,0,,,0,-1,0.7652173913043478,,train_oof,1
282,362,the security patch needs to be applied to all the um where was i,0,-1,0,,,0,-1,0.5037037037037037,,train_oof,1
284,813,my sensei was explaining something and then he just,0,-1,0,,,0,-1,0.5504587155963303,,train_oof,1
286,1884,"no, i dont mind any",0,-1,0,,,0,-1,0.4,,train_oof,1
299,1669,"actually one more thin, i need a taxi from the hotel to the restaurant, i want to leave at 09:45",0,-1,0,,,0,-1,0.6503067484662577,,train_oof,1
303,1538,about the taxi pickup time at the college and maybe,0,-1,0,,,0,-1,0.3106796116504854,,train_oof,1
323,1738,the conference room needs to be booked for next thursday's meeting,1,1,1,1749,1,1,1,1.0,1749,train_oof,1
332,851,"not at this time, thank you",0,-1,0,,,0,-1,0.6808510638297872,,train_oof,1
335,1731,please remember to log your hours in the new timesheet system,0,-1,0,,,0,-1,0.17142857142857143,,train_oof,1
336,553,ain't sure if i should mention how they,0,-1,0,,,0,-1,0.5348837209302325,,train_oof,1
337,607,centre has some,0,-1,0,,,0,-1,0.1935483870967742,,train_oof,1
339,1715,heading out now bye will finish this tomorrow,0,-1,0,,,0,-1,0.125,,train_oof,1
340,949,im trying to access the portal the company portal but it keeps,0,-1,0,,,0,-1,0.592,,train_oof,1
341,320,"the document is saved under project x- sorry, project y final version",0,-1,0,,,0,-1,0.3770491803278688,,train_oof,1
343,521,oh before i forget i wanted to ask about the,0,-1,0,,,0,-1,0.8041237113402062,,train_oof,1
344,494,"yikes, i definitely should have brought an umbrella to work today",0,-1,0,,,0,-1,0.5378151260504201,,train_oof,1
350,1621,the temperature in lab 3 must remain at exactly 22.5°c,0,-1,0,,,0,-1,0.5510204081632653,,train_oof,1
353,1190,im not sure if we should i tested the new feature and it works perfectly now,0,-1,0,,,0,-1,0.4578313253012048,,train_oof,1
354,1998,no that takes crare of it,0,-1,0,,,0,-1,0.14814814814814814,,train_oof,1
357,1281,5 people for 4 nights starting from monday,0,-1,0,,,0,-1,0.5689655172413793,,train_oof,1
358,1252,are we supposed to submit the oh the deadline got extended to next wednesday,1,1,1,1197,1,1,1,1.0,1197,train_oof,1
366,1704,i would not mind finding one with free wifi,0,-1,0,,,0,-1,0.4444444444444444,,train_oof,1
368,1570,looking at these analytics it seems like... but then again maybe,0,-1,0,,,0,-1,0.6355140186915887,,train_oof,1
370,1720,yes could you reserve that for me for 2 nights from thursday for 3 people. i will need a reference number as well,0,-1,0,,,0,-1,0.3626943005181347,,train_oof,1
374,598,sposed to rain all week but the weather keeps changin,0,-1,0,,,0,-1,0.4117647058823529,,train_oof,1
376,1943,were supposed to meet them there arent we or should we,0,-1,0,,,0,-1,0.5074626865671642,,train_oof,1
381,1598,here's the invoice #45721 from january,0,-1,0,,,0,-1,0.3333333333333333,,train_oof,1
385,291,can you pick up some milk and uh bread and oh yeah eggs from the store,0,-1,0,,,0,-1,0.5793103448275863,,train_oof,1
386,1474,during the final quarter when we were about to,0,-1,0,,,0,-1,0.32142857142857145,,train_oof,1
393,768,is that in the center of town,0,-1,0,,,0,-1,0.5217391304347826,,train_oof,1
404,1144,"yes, book me a table for 2 people at 12:15 on monday",0,-1,0,,,0,-1,0.4225352112676056,,train_oof,1
406,1225,does anyone know how to i found the solution in the documentation wiki,0,-1,0,,,0,-1,0.3508771929824561,,train_oof,1
410,1953,youve already finished the report havent you,0,-1,0,,,0,-1,0.4666666666666667,,train_oof,1
412,1664,my grandmother's secret recipe requires special ingredients that,0,-1,0,,,0,-1,0.3974358974358974,,train_oof,1
415,1827,"the client's been asking for updates, hasn't she, and i thought",0,-1,0,,,0,-1,0.5238095238095238,,train_oof,1
421,782,yo that's bare jokes still bruv wagwan with people these days,0,-1,0,,,0,-1,0.4166666666666667,,train_oof,1
422,1478,lets schedule the meeting for i cant make it sometime next week when the,0,-1,0,,,0,-1,0.4251968503937008,,train_oof,1
427,198,"all that sounds perfect. i just need the price on one train ticket, please. thank you and have a nice day",0,-1,0,,,0,-1,0.3283582089552239,,train_oof,1
